componente,coste_componente_unitario,lote_componente
MAT362,7.65,2302-092
MAT333,1.49,2302-093
MAT348,5.15,2302-094
MAT241,0.92,2302-095
MAT242,1.988,2302-096
MAT344,1.509,2302-097
MAT270,4.748,2302-098
MAT367,5.32,2302-099
MAT187,3.45,2302-100
MAT178,9.657,2302-101
MAT041,1.65,2302-102
MAT234,10.0,2302-103
MAT149,4.8,2302-104
MAT027,0.8009,2302-105
MAT132,10.43,2302-106
MAT166,5.3,2302-107
MAT040,2.65,2302-108
MAT270,4.748,2302-109
MAT367,5.32,2302-110
MAT368,9.115,2302-111
VAR444,0.0037,2302-113
MAT323,14.8571,2302-114
MAT346,0.718,2302-115
MAT315,47.68,2302-116
MAT278,1.21,2302-117
MAUX025,1.11,2302-118
MAT039,22.5,2302-119
MAT364,1.97,2302-120
MAT365,2.19,2302-121
MAUX021,1.4681,2302-122
MAUX020,0.2328,2302-123
MAT359,11.42,2302-124
MAT320,6.62,2302-125
MAT324,0.94,2303-001
MAUX017,0.0542,2303-002
MAT355,2.3,2303-003
MAT230,17.5,2303-004
VAR444,0.0037,2303-005
MAT056,0.85,2303-006
MAT361,5.957,2303-007
MAT337,6.149,2303-008
MAT360,5.0326,2303-009
MAT021,2.6,2303-010
MAT196,0.126,2303-011
MAUX020,0.2328,2303-012
MAUX021,1.4681,2303-013
MAT343,1.236,2303-014
MAUX016,0.0012,2303-015
MAT234,7.85,2303-016
MAT041,1.75,2303-017
MAT234,7.85,2303-018
MAT234,7.85,2303-019
MAUX044,0.1064,2303-020
MAUX045,0.1064,2303-021
MAT154,3.0,2303-022
MAT334,1.4,2303-023
MAT344,1.509,2303-024
VAR444,0.0037,2303-025
MAT270,4.748,2303-026
MAT367,5.32,2303-027
MAT361,5.957,2303-029
MAT298,5.85,2303-030
MAT327,1.552,2303-031
MAT362,7.647,2303-032
MAT292,0.0705,2303-033
MAT360,5.032,2303-034
MAT320,6.62,2303-035
MAT319,26.0,2303-036
MAT017,0.2848,2303-037
MAT369,0.828,2303-038
MAT060,1.2643,2303-039
MAT183,0.0205,2303-040
MAUX023,0.0012,2303-041
MAT365,2.19,2303-042
MAT366,0.75,2303-043
MAT364,1.97,2303-044
MAT149,4.8,2303-045
MAT290,6.97,2303-046
MAT048,7.2,2303-047
MAUX020,0.2328,2303-048
MAUX021,1.4681,2303-049
MAT292,0.0705,2303-050
MAT241,1.14,2303-051
MAT340,26.5,2303-052
MAT027,0.809,2303-053
MAT346,0.809,2303-054
MAT292,0.0705,2303-055
MAT361,5.957,2303-056
MAT292,0.0807,2303-057
MAT292,0.0807,2303-058
MAT067,11.5,2303-059
MAT329,3.804,2303-060
VAR444,0.0037,2303-061
VAR420,4.36,2303-062
MAT026,0.7006,2303-063
MAT056,0.85,2303-064
MAT292,0.0807,2303-065
MAUX038,0.0859,2303-066
MAUX039,0.0859,2303-067
MAUX035,0.0859,2303-068
MAUX037,0.0859,2303-069
MAUX034,0.0859,2303-070
MAUX032,0.0859,2303-071
MAUX036,0.0859,2303-072
MAUX020,0.2328,2303-073
MAUX021,1.4681,2303-074
MAT278,1.21,2303-075
MAT178,9.657,2303-076
MAT302,14.0,2303-077
VAR444,0.0037,2303-078
MAT277,3.94,2303-079
MAT292,0.0807,2303-080
VAR444,0.0037,2303-081
VAR119,0.106,2303-082
MAT361,5.8,2303-083
MAT158,3.65,2303-084
MAT290,7.0452,2303-085
MAT021,2.95,2303-086
MAUX021,1.4681,2303-087
MAUX020,0.2328,2303-088
MAT234,7.85,2303-089
MAT286,2.03,2303-090
MAT178,9.657,2303-091
MAT334,1.6,2303-092
MAT056,0.85,2303-093
MAT344,1.509,2303-094
MAUX025,1.11,2303-095
MAT154,3.0,2303-096
MAT013,3.635,2303-097
MAT344,1.509,2303-098
VAR444,0.0037,2304-001
MAT241,1.14,2304-002
MAT242,1.988,2304-003
MAT287,1.552,2304-004
MAT316,5.09,2304-005
MAT348,5.7,2304-006
MAT362,7.64,2304-007
MAT371,3.45,2304-008
MAT301,1.54,2304-009
MAT339,2.07,2304-010
MAT355,2.3,2304-011
MAT290,6.97,2304-012
MAT035,7.9,2304-013
MAT364,1.97,2304-014
MAT365,2.19,2304-015
MAT366,0.75,2304-016
MAUX020,0.2328,2304-017
MAUX021,1.4681,2304-018
MAT369,0.828,2304-019
MAT234,7.85,2304-020
MAT325,5.0,2304-021
MAT257,3.6,2304-022
MAT262,6.629,2304-023
MAT270,4.748,2304-024
MAT367,5.32,2304-025
MAT368,9.115,2304-026
MAT372,8.2,2304-027
MAT358,9.05,2304-028
MAT361,5.957,2304-029
VAR444,0.0037,2304-030
MAT265,4.0,2304-031
MAT234,8.6,2304-032
MAT337,6.0,2304-033
MAT284,11.54,2304-034
MAUX021,1.4681,2304-035
MAUX020,0.2328,2304-036
MAT287,1.64,2304-037
MAT297,5.9,2304-038
MAT312,1.7517,2304-039
MAT313,76.3851,2304-040
MAT323,11.264,2304-041
MAT056,0.85,2304-042
MAT336,6.25,2304-043
VAR417,0.016,2304-044
MAT318,5.99,2304-045
MAT239,0.716,2304-046
MAT132,10.2165,2304-047
MAT370,5.4,2304-048
MAT340,26.5,2304-049
MAT311,1.6,2304-050
MAT344,1.509,2304-051
MAT292,0.0807,2304-052
MAT286,2.03,2304-053
MAT021,2.95,2304-054
MAT229,18.67,2304-055
MAT320,6.62,2304-056
MAT319,26.0,2304-057
VAR444,0.0037,2304-058
MAUX029,0.1903,2304-059
MAUX026,0.1903,2304-060
MAUX042,0.023,2304-061
MAUX046,0.0349,2304-062
MAUX047,0.0364,2304-063
MAUX049,0.0364,2304-064
MAUX050,0.048,2304-065
MAUX051,0.0364,2304-066
MAUX052,0.0364,2304-067
MAUX053,0.0364,2304-068
MAUX020,0.2328,2304-069
MAUX021,1.4681,2304-070
MAT345,3.283,2304-071
MAT343,1.236,2304-072
MAT234,10.9,2304-073
MAT241,1.14,2304-074
MAT242,1.988,2304-075
MAT257,3.6,2304-076
MAT297,5.9,2304-077
MAT371,3.45,2304-078
MAT033,1.27,2304-079
MAT073,1.38,2304-080
MAT071,6.62,2304-081
MAT278,1.21,2304-082
MAT320,6.62,2304-083
MAT319,26.0,2304-084
VAR444,0.0037,2304-085
MAT132,10.43,2304-086
MAT269,6.155,2304-087
MAT050,2.38,2304-088
MAT185,2.04,2304-089
MAUX029,0.1903,2304-090
MAUX026,0.1903,2304-091
MAT154,3.0,2304-092
MAT373,4.55,2304-093
MAUX021,1.4681,2304-094
MAUX020,0.2328,2304-095
MAT358,9.05,2304-096
MAT056,0.85,2304-097
MAT302,14.0,2304-098
MAT035,8.0,2304-099
MAT166,5.3,2304-100
MAT020,1.12,2304-101
MAUX041,15.45,2304-102
MAUX043,7.29,2304-103
FCRO001,27.4909,2305-001
FCRO002,29.1956,2305-002
FCRO003,26.5105,2305-003
FCRO004,27.6829,2305-004
FCRO005,26.1701,2305-005
MAUX020,0.2328,2305-006
MAUX021,1.4681,2305-007
MAT013,3.635,2305-008
MAT158,3.65,2305-009
MAT379,2.43,2305-010
MAT241,1.14,2305-011
MAT257,3.6,2305-012
MAT301,1.16,2305-013
MAT380,15.33,2305-014
MAT055,10.149,2305-015
MAT262,6.629,2305-016
MAT347,5.661,2305-017
MAT284,15.4777,2305-018
MAT017,0.2848,2305-019
MAT104,0.0528,2305-020
MAT190,1.337,2305-021
VAR444,0.0037,2305-022
MAT344,1.509,2305-023
MAUX024,0.0922,2305-024
MAT021,2.95,2305-025
MAT381,28.865,2305-026
MAT290,6.9,2305-027
MAT234,7.85,2305-028
MAT326,3.25,2305-029
MAT290,7.3,2305-030
MAT234,9.0,2305-031
MAT129,4.1666,2305-032
MAT130,3.333,2305-033
MAUX025,1.11,2305-034
MAT290,7.15,2305-035
MAT286,2.03,2305-036
MAT334,1.6,2305-037
MAT035,7.9,2305-038
MAT178,9.657,2305-039
MAT149,6.2,2305-040
MAT166,5.3,2305-041
MAT013,3.635,2305-042
MAT336,6.25,2305-043
MAT234,7.9,2305-044
VAR444,0.0037,2305-045
MAUX021,1.4681,2305-046
MAUX020,0.2328,2305-047
MAT278,1.21,2305-048
MAT313,76.3851,2305-049
MAT312,1.7517,2305-050
MAT136,9.5,2305-051
MAT370,5.4,2305-052
MAT228,4.6,2305-053
MAT324,0.94,2305-054
MAUX001,0.281,2305-055
MAT056,0.85,2305-056
MAT343,1.236,2305-057
MAT021,2.95,2305-058
MAT344,1.509,2305-059
MAT160,56.0,2305-060
MAUX043,7.29,2305-061
MAT355,2.3,2305-062
MAT048,6.75,2305-063
VAR420,4.36,2305-064
MAT166,5.3,2305-065
MAT340,26.5,2305-066
MAT183,0.0205,2305-067
MAT026,0.7006,2305-068
VAR444,0.0037,2305-069
MAT359,11.42,2305-070
MAT320,6.62,2305-071
MAT154,3.0,2305-072
MAUX021,1.4681,2305-073
MAUX020,0.2328,2305-074
MAT161,5.06,2305-075
MAT241,1.14,2305-076
MAT242,1.988,2305-077
MAT257,3.6,2305-078
MAT287,1.64,2305-079
MAT297,5.9,2305-080
MAT333,1.49,2305-081
MAT348,5.7,2305-082
MAT371,3.45,2305-083
MAT042,6.2,2305-084
MAT334,1.6,2305-085
MAT021,2.95,2305-086
MAT321,0.0,2305-087
MAT292,0.0807,2305-088
VAR444,0.0037,2305-089
MAT174,2.95,2305-090
MAT337,6.34,2305-091
MAT035,8.0,2305-092
MAT137,5.76,2305-093
MAT013,3.635,2305-094
MAT307,5.831,2305-095
MAT358,9.05,2305-096
MAT262,6.629,2305-097
MAT271,6.255,2305-098
MAUX021,1.4681,2305-099
MAUX020,0.2328,2305-100
MAT318,5.99,2305-101
MAT149,6.5,2305-102
MAT038,7.75,2305-103
MAT132,10.43,2305-104
MAT178,10.1,2305-105
MAT158,3.65,2305-106
MAT230,17.5,2305-107
VAR444,0.0037,2305-108
MAT147,0.039,2305-109
VAR119,0.1143,2305-110
MAT313,76.3851,2305-111
MAT312,1.8964,2305-112
MAT373,4.55,2305-113
MAT040,2.9,2305-114
MAT277,3.94,2305-115
MAT379,2.43,2305-117
MAUX021,1.4681,2305-118
MAUX020,0.2328,2305-119
VAR121,1.673,2305-120
MAT344,1.478,2305-121
MAUX014,0.2739,2305-122
VAR118,0.328,2305-123
MAT027,0.809,2305-124
MAT017,0.2848,2305-125
MAT190,1.337,2305-126
MAUX025,1.11,2305-127
MAT319,26.0,2305-128
MAUX015,0.131,2305-129
MAT187,3.45,2305-130
MAT234,9.0,2305-131
MAT048,6.75,2305-132
MAT241,1.14,2306-001
MAT257,3.6,2306-002
MAT301,1.16,2306-003
MAT333,1.49,2306-004
MAT348,5.7,2306-005
MAT362,7.64,2306-006
MAT041,1.45,2306-007
MAT067,11.5,2306-008
MAT360,5.1333,2306-009
MAUX023,0.0012,2306-010
VAR113,0.0097,2306-011
MAT284,11.54,2306-012
MAT020,1.12,2306-013
MAT292,0.0807,2306-014
MAT344,1.5,2306-015
MAT290,7.15,2306-016
MAT290,7.15,2306-017
MAT290,7.15,2306-018
MAT290,7.15,2306-019
MAT290,7.15,2306-020
VAR444,0.0037,2306-021
MAT337,6.34,2306-022
MAUX021,1.4681,2306-023
MAUX020,0.2328,2306-024
MAT292,0.0807,2306-025
MAT154,3.0,2306-026
VAR444,0.0037,2306-027
MAT234,7.9,2306-028
MAT048,6.75,2306-029
MAT038,7.75,2306-030
VAR424,0.189,2306-031
MAUX029,0.189,2306-032
MAUX026,0.189,2306-033
MAT073,1.38,2306-034
MAT033,1.27,2306-035
MAT356,2.75,2306-036
MAT021,2.95,2306-037
MAT313,76.3851,2306-038
MAT312,1.8964,2306-039
MAT308,0.1861,2306-040
MAT309,0.1861,2306-041
MAT310,0.1861,2306-042
MAT056,0.85,2306-043
MAT334,1.6,2306-044
MAT321,0.0,2306-045
MAT278,1.21,2306-046
MAT323,11.264,2306-047
MAUX041,15.45,2306-048
MAUX002,0.51,2306-049
MAT161,4.88,2306-050
MAT178,10.1,2306-051
MAT149,7.5,2306-052
VAR420,4.36,2306-053
MAT297,5.9,2306-054
MAT371,3.45,2306-055
MAT257,3.6,2306-056
MAT362,7.64,2306-057
MAT326,3.25,2306-058
MAT364,1.97,2306-059
MAT287,1.772,2306-060
MAT365,2.19,2306-061
MAT339,2.07,2306-062
MAT326,3.25,2306-063
MAUX021,1.4681,2306-064
MAUX020,0.2328,2306-065
MAT345,3.283,2306-066
MAT021,2.95,2306-067
MAT361,5.9,2306-068
MAT042,7.15,2306-069
MAT343,1.236,2306-070
MAT174,2.8,2306-071
MAT311,1.509,2306-072
MAT055,10.149,2306-073
MAT270,4.748,2306-074
MAT222,5.606,2306-075
MAT358,9.05,2306-076
MAT372,8.2,2306-077
MAT262,6.629,2306-078
VAR444,0.0037,2306-079
MAT292,0.0786,2306-080
MAUX051,0.0359,2306-081
MAUX046,0.0359,2306-082
VAR119,0.1143,2306-083
VAR122,7.35,2306-084
MAT183,0.0205,2306-085
VAR142,0.4051,2306-086
MAT336,5.48,2306-087
MAT269,5.3,2306-088
MAT166,5.3,2306-089
MAT302,14.0,2306-090
MAT234,9.4,2306-091
MAUX021,1.4681,2306-092
MAUX020,0.2328,2306-093
MAT190,1.337,2306-094
MAT017,0.2848,2306-095
MAT363,1.056,2306-096
MAT268,10.73,2306-097
MAT056,0.99,2306-098
MAT352,8.07,2306-099
MAT228,4.6,2306-100
MAT132,11.4,2306-101
MAUX046,0.0359,2306-102
MAUX049,0.0359,2306-103
MAUX053,0.0359,2306-104
MAUX051,0.0359,2306-105
MAT118,11.15,2306-106
MAT367,6.2,2306-107
MAT373,4.55,2306-108
MAUX002,0.51,2306-109
MAT355,2.3,2306-110
MAT382,6.8,2306-111
MAT383,7.9,2306-112
MAT384,6.99,2306-113
MAT385,2.75,2306-114
MAT386,4.4,2306-115
MAT242,1.98,2306-116
MAT241,1.14,2306-117
MAT359,11.42,2306-118
MAT229,18.67,2306-119
MAT320,6.62,2306-120
MAT319,26.0,2306-121
VAR444,0.0037,2306-122
MAT387,1.49,2306-123
VAR398,0.0488,2306-124
MAUX021,1.4681,2306-125
MAUX020,0.2328,2306-126
MAT286,2.03,2306-127
VAR444,0.0037,2306-128
MAT149,6.55,2306-129
MAT038,7.75,2306-130
MAT158,3.65,2306-131
MAUX001,0.2511,2306-132
MAUX002,0.5008,2306-133
MAT287,1.772,2306-134
MAT239,0.716,2306-135
MAT355,2.3,2306-136
MAT357,6.0,2306-137
VAR400,197.62,2306-138
MAT234,9.4,2306-139
MAT154,3.0,2306-140
MAT344,1.509,2306-141
MAUX025,1.11,2307-001
MAUX021,1.4681,2307-002
MAUX020,0.2328,2307-003
VAR444,0.0037,2307-004
MAT290,7.15,2307-005
MAT334,1.55,2307-006
MAT056,0.99,2307-007
VAR356,0.48,2307-008
MAT042,5.7,2307-009
MAT035,8.0,2307-010
MAT340,41.5,2307-011
MAT321,0.0,2307-012
VAR444,0.0037,2307-013
MAT021,2.95,2307-014
MAT284,11.54,2307-015
MAT178,10.1,2307-016
MAT040,2.9,2307-017
MAT137,5.76,2307-018
MAT257,3.6,2307-019
MAT316,5.09,2307-020
MAT333,1.49,2307-021
MAT348,5.7,2307-022
MAT371,3.45,2307-023
MAT297,5.9,2307-024
MAUX046,0.0354,2307-025
MAUX047,0.0354,2307-026
MAUX052,0.0354,2307-027
MAUX051,0.0354,2307-028
MAT352,8.07,2307-029
MAT149,6.55,2307-030
MAUX021,1.4681,2307-031
MAUX020,0.2328,2307-032
MAT292,0.0786,2307-033
MAT278,1.21,2307-034
MAT334,1.55,2307-035
MAT013,3.635,2307-037
MAT104,0.0528,2307-038
MAT017,0.2848,2307-039
MAT290,7.15,2307-040
MAT290,7.0,2307-041
MAT343,1.236,2307-042
MAT320,6.62,2307-043
MAUX014,0.2739,2307-044
MAUX015,0.131,2307-045
VAR422,0.3794,2307-046
VAR444,0.0037,2307-047
MAUX001,0.2511,2307-048
MAT038,7.75,2307-049
MAT344,1.509,2307-050
MAT292,0.0786,2307-051
MAUX014,0.2739,2307-052
MAT021,2.3,2307-053
MAT241,1.14,2307-054
MAT242,1.988,2307-055
MAT301,1.16,2307-056
MAT187,3.45,2307-057
MAT230,17.5,2307-058
MAT313,76.3851,2307-059
MAT312,1.8964,2307-060
MAUX021,1.4681,2307-061
MAUX020,0.2328,2307-062
MAT287,1.64,2307-063
MAT073,1.38,2307-064
MAT033,1.27,2307-065
MAT021,2.3,2307-066
MAT056,0.99,2307-067
MAT269,5.3,2307-068
MAUX024,0.0922,2307-069
MAT035,7.9,2307-070
VAR444,0.0037,2307-071
MAT318,5.99,2307-072
MAT325,5.9,2307-073
MAT262,6.629,2307-074
MAT307,5.831,2307-075
MAT154,3.0,2307-076
MAT013,3.635,2307-077
MAT166,5.3,2307-078
MAT345,3.283,2307-079
MAT373,4.55,2307-080
MAT178,10.1,2307-081
MAT233,5.857,2307-082
FCRO001,28.8,2307-083
FCRO004,29.28,2307-084
FCRO003,28.55,2307-085
FCRO005,27.68,2307-086
FCRO002,30.88,2307-087
VAR420,4.36,2307-088
VAR444,0.0037,2307-089
MAT311,1.509,2307-090
MAT027,0.809,2307-091
MAT132,11.4,2307-092
MAT067,11.5,2307-093
MAT320,6.62,2307-094
MAT229,18.67,2307-095
MAT359,11.42,2307-096
MAT340,41.5,2307-097
MAUX021,1.4681,2307-098
MAUX020,0.2328,2307-099
MAT149,6.55,2307-100
MAT021,2.3,2307-101
MAT017,0.2848,2307-102
MAT104,0.0528,2307-103
MAT137,5.76,2307-104
MAT158,3.65,2307-105
MAT358,9.05,2307-106
MAT271,6.255,2307-107
MAT048,6.3,2307-108
MAT302,14.0,2307-109
VAR444,0.0037,2307-110
MAT241,1.14,2307-111
MAT242,1.988,2307-112
MAT287,1.64,2307-113
MAT297,5.9,2307-114
MAUX025,1.11,2307-115
MAUX054,0.0,2308-001
MAUX055,0.0,2308-002
MAT344,1.509,2308-003
MAUX021,1.4681,2308-004
MAUX020,0.2328,2308-005
MAT321,0.0,2308-006
MAT334,1.5,2308-007
MAT355,2.3,2308-008
MAT021,2.3,2308-009
MAT278,1.128,2308-010
VAR121,1.773,2308-011
MAT041,1.4,2308-012
MAT158,3.65,2308-013
VAR444,0.0037,2308-014
MAT278,1.128,2308-015
VAR119,0.1143,2308-016
MAT026,0.7006,2308-017
MAT149,5.4,2308-018
MAUX055,0.624,2308-019
MAUX021,1.4681,2308-020
MAUX020,0.2328,2308-021
MAT056,0.99,2308-022
MAT104,0.0516,2308-023
MAT183,0.0205,2308-024
VAR113,0.0097,2308-025
MAT290,6.9,2308-026
MAT324,0.94,2308-027
VAR444,0.0037,2308-028
MAT154,3.0,2308-029
MAUX041,15.45,2308-030
MAT355,2.3,2308-031
MAT313,76.3851,2308-032
MAT312,2.03,2308-033
MAUX029,0.2066,2308-034
MAUX026,0.2066,2308-035
VAR424,0.2066,2308-036
MAUX054,0.227,2308-037
MAT290,6.9,2308-038
VAR444,0.0037,2308-039
MAUX021,1.4681,2308-040
MAUX020,0.2328,2308-041
MAT020,1.12,2308-042
MAUX016,0.0012,2308-043
MAUX023,0.0012,2308-044
MAT228,4.6,2308-045
MAT370,5.4,2308-046
VAR118,0.328,2308-047
MAT292,0.0786,2308-048
MAT343,1.236,2308-049
MAT241,1.14,2308-050
MAT257,3.6,2308-051
MAT287,1.772,2308-052
MAT297,5.9,2308-053
MAT316,5.09,2308-054
MAT317,5.4,2308-055
MAT348,5.7,2308-056
MAT371,3.45,2308-057
MAT242,1.988,2308-058
MAT161,4.88,2308-059
MAT389,37.75,2308-060
MAT277,3.94,2308-061
MAT013,3.635,2308-062
MAT067,11.5,2308-063
MAT178,10.1,2308-064
MAT278,1.128,2308-065
MAT262,6.629,2308-066
MAT137,6.25,2308-067
MAT229,18.67,2308-068
MAT322,13.19,2308-069
MAT388,11.34,2308-070
MAT033,1.27,2308-071
MAT073,1.38,2308-072
MAUX021,1.4681,2308-073
MAUX020,0.2328,2308-074
VAR444,0.0037,2308-075
MAT038,7.75,2308-076
MAUX042,0.023,2308-077
MAUX047,0.0372,2308-078
MAUX046,0.0372,2308-079
MAT174,2.8,2308-080
MAT290,6.9,2308-081
MAT284,11.54,2308-082
MAT339,1.967,2308-083
MAT296,3.592,2308-084
MAT021,2.3,2308-085
MAT027,0.809,2308-086
MAT166,5.3,2308-087
MAT269,5.3,2308-088
MAT379,2.43,2308-089
MAT318,5.0915,2308-090
VAR420,4.36,2308-091
MAT344,1.509,2308-092
MAT313,76.3851,2308-093
MAT312,2.03,2308-094
MAT323,11.26,2308-095
MAT132,11.4,2308-096
MAUX021,1.4681,2308-097
MAUX020,0.2328,2308-098
MAT290,6.9,2308-099
MAT056,0.99,2308-100
MAT038,7.75,2308-101
VAR444,0.0037,2308-102
MAUX001,0.2381,2308-103
MAUX002,0.4748,2308-104
MAT384,4.4,2309-001
MAT013,3.635,2309-002
VAR444,0.0037,2309-003
MAT382,6.8,2309-004
MAT383,7.9,2309-005
MAT386,4.4,2309-006
VAR142,0.4051,2309-007
MAT027,0.809,2309-008
MAT290,6.9,2309-009
VAR119,0.1143,2309-010
MAUX025,1.11,2309-011
VAR417,0.016,2309-012
MAUX018,0.2998,2309-013
MAT325,5.9,2309-014
MAUX021,1.4681,2309-015
MAUX020,0.2328,2309-016
MAT387,1.49,2309-017
MAT154,3.0,2309-018
MAT345,3.4925,2309-019
VAR444,0.0037,2309-020
MAT349,9.615,2309-021
MAT358,9.05,2309-022
MAT352,8.07,2309-023
MAT389,37.75,2309-024
MAT292,0.0678,2309-025
MAUX050,0.0652,2309-026
MAT233,5.857,2309-027
MAT334,1.55,2309-028
VAR444,0.0037,2309-029
MAT021,2.3,2309-030
MAT320,6.62,2309-031
MAT290,6.9,2309-032
MAUX021,1.4681,2309-033
MAUX020,0.2328,2309-034
MAUX021,1.4681,2309-035
MAUX020,0.2328,2309-036
MAT321,0.0,2309-037
MAT137,6.25,2309-038
MAT149,5.6,2309-039
VAR444,0.0037,2309-040
MAT343,1.236,2309-041
MAT387,1.49,2309-042
MAT301,1.16,2309-043
MAT241,1.14,2309-044
MAT242,1.988,2309-045
MAT287,1.772,2309-046
MAT333,1.49,2309-047
MAT348,5.7,2309-048
MAT371,3.45,2309-049
MAT290,6.9,2309-050
MAT373,4.55,2309-051
MAT048,6.3,2309-052
MAT313,76.3851,2309-053
MAT312,1.8964,2309-054
MAT323,12.236,2309-055
MAT387,1.49,2309-056
MAT318,5.0915,2309-057
MAT319,26.0,2309-058
MAT233,5.857,2309-059
MAT297,5.9,2309-060
MAT382,6.8,2309-061
MAT383,7.25,2309-062
MAT386,4.4,2309-063
MAT239,0.716,2309-064
MAT339,1.967,2309-065
MAT021,2.3,2309-066
MAT290,6.9,2309-067
MAT352,8.07,2309-068
MAT307,5.831,2309-069
MAT262,6.629,2309-070
MAT271,6.255,2309-071
MAT071,7.61,2309-072
MAUX021,1.4681,2309-073
MAUX020,0.2328,2309-074
MAT035,7.9,2309-075
VAR444,0.0037,2309-076
MAT344,1.509,2309-077
MAT278,1.128,2309-078
MAT056,0.99,2309-079
VAR423,0.2608,2309-080
MAT178,10.1,2309-081
MAT129,4.1666,2309-082
MAT337,9.19,2309-083
MAT352,8.07,2309-084
MAT380,15.33,2309-085
VAR444,0.0037,2309-086
MAT373,4.55,2309-087
MAT334,1.55,2309-088
MAT268,9.5,2309-089
MAT149,5.6,2309-090
MAT290,6.9,2309-091
MAUX021,1.4681,2309-092
MAUX020,0.2328,2309-093
MAT292,0.0786,2309-094
MAT287,1.772,2309-095
MAT316,5.09,2309-096
MAT241,1.14,2309-097
MAT242,1.988,2309-098
MAT166,5.3,2309-099
MAT013,3.635,2309-100
MAT067,11.5,2309-101
MAT359,11.42,2309-102
MAT229,18.67,2309-103
MAT320,6.62,2309-104
MAT038,7.75,2309-105
MAT360,5.4822,2309-106
MAT017,0.2848,2309-107
MAT290,7.15,2309-108
MAT286,2.15,2309-109
MAT373,11.95,2309-110
MAT020,1.12,2309-111
MAUX024,0.0922,2309-112
MAT021,2.3,2309-113
MAT183,0.0205,2309-114
MAT040,2.9,2310-001
MAT290,6.9,2310-002
VAR444,0.0037,2310-003
VAR444,0.0037,2310-004
MAT344,1.509,2310-005
MAT379,2.43,2310-006
VAR112,0.012,2310-007
MAUX021,1.4681,2310-008
MAUX020,0.2328,2310-009
MAUX025,1.11,2310-010
MAT033,1.23,2310-011
MAT035,8.5,2310-012
FCRO001,28.8,2310-013
FCRO005,27.68,2310-014
MAT262,6.629,2310-015
MAT270,8.4,2310-016
MAUX042,0.0249,2310-017
MAUX046,0.0249,2310-018
MAUX047,0.0249,2310-019
MAUX051,0.0249,2310-020
MAUX049,0.0249,2310-021
MAUX053,0.0249,2310-022
MAT297,5.9,2310-023
MAT385,2.75,2310-024
MAT257,3.6,2310-025
MAT386,4.4,2310-026
MAT382,6.8,2310-027
MAT383,7.25,2310-028
MAT387,1.49,2310-029
MAT041,1.35,2310-030
MAUX014,0.2739,2310-031
MAUX015,0.131,2310-032
VAR118,0.328,2310-033
VAR444,0.0037,2310-034
MAT290,6.9,2310-035
MAUX021,1.4681,2310-036
MAUX020,0.2328,2310-037
MAT384,4.7,2310-038
MAT132,11.4,2310-039
MAT154,3.0,2310-040
MAT290,8.6,2310-041
MAT074,5.28,2310-042
MAT339,1.967,2310-043
MAT296,3.592,2310-044
MAT020,1.12,2310-045
VAR444,0.0037,2310-046
MAT384,4.4,2310-047
MAT241,1.14,2310-048
MAT242,1.988,2310-049
MAT301,1.16,2310-050
MAT333,1.49,2310-051
MAT348,5.7,2310-052
MAT371,3.45,2310-053
MAT147,0.039,2310-054
VAR119,0.1143,2310-055
MAUX041,15.45,2310-056
MAUX043,7.29,2310-057
MAT344,1.509,2310-058
MAT278,1.128,2310-059
MAT056,0.99,2310-060
MAT149,5.7,2310-061
MAT290,6.9,2310-062
VAR408,11.4408,2310-063
MAUX021,1.4681,2310-064
MAUX020,0.2328,2310-065
MAT388,11.34,2310-066
MAT379,2.57,2310-067
MAT187,3.45,2310-068
MAT038,7.75,2310-069
MAT035,7.9,2310-070
MAT190,1.337,2310-071
MAT104,0.0516,2310-072
MAT343,1.236,2310-073
MAT290,7.15,2310-074
VAR420,4.36,2310-075
MAT178,10.1,2310-076
MAT042,5.7,2310-077
VAR444,0.0037,2310-078
MAT269,5.3,2310-079
VAR422,0.3794,2310-080
MAT020,1.12,2310-081
MAT137,6.25,2310-082
MAT387,1.49,2310-083
MAT013,3.635,2310-084
MAT021,2.3,2310-085
MAT166,5.3,2310-086
MAT389,37.75,2310-087
VAR398,0.046,2310-088
MAT035,8.5,2310-089
MAT308,0.1593,2310-090
MAT372,8.2,2310-091
MAT337,9.19,2310-092
MAUX021,1.4681,2310-093
MAUX020,0.2328,2310-094
MAT373,4.55,2310-095
MAUX026,0.2102,2310-096
MAUX029,0.2102,2310-097
MAT334,1.55,2310-098
MAT292,0.0748,2310-099
MAT290,6.9,2310-100
MAT286,2.15,2310-101
MAT187,3.45,2310-102
MAT321,0.0,2310-103
VAR444,0.0037,2310-104
MAT337,8.941,2310-105
MAT056,0.99,2310-106
MAT320,6.62,2310-107
MAT388,11.34,2310-108
MAT319,26.0,2310-109
MAT027,0.809,2310-110
MAT337,9.19,2310-111
MAT325,7.0,2310-112
MAT290,6.9,2310-113
MAUX021,1.4681,2310-114
MAUX020,0.2328,2310-115
MAT277,3.9413,2311-001
MAT035,8.5,2311-002
MAT033,1.18,2311-003
MAT073,1.35,2311-004
MAUX025,1.11,2311-005
MAT380,15.33,2311-006
MAT055,10.149,2311-007
MAT262,6.629,2311-008
MAT370,5.4,2311-009
MAT228,4.6,2311-010
MAT323,12.236,2311-011
MAT312,1.8964,2311-012
MAT313,76.3851,2311-013
MAT021,2.3,2311-014
